author details,urls,unique ID,book title,author name,rating,book description,book_cover_links,v4 UUID
,https://www.goodreads.com/book/show/61070977-summary-and-brief-note-of-all-your-perfects-book-summary-by-by-colleen-h?from_search=true&from_srp=true&qid=1t02z5usua&rank=86,61070977,Summary and brief note of All Your Perfects book summary by by Colleen Hoover,by snippet,0.00,no book description available,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1652223770l/61070977._SY475_.jpg,f2a49a7f-31a7-4019-ac43-22bde9f81a1e
,https://www.goodreads.com/book/show/29725515-confess--extrait-offert-?from_search=true&from_srp=true&qid=1t02z5usua&rank=87,29725515,Confess -Extrait offert-,"by Colleen Hoover (Goodreads Author), Pauline Vidal (Translator)",4.23,"Et si la vérité faisait plus mal que le silence ?


PAR LA PLUS GRANDE AUTEURE DE ROMANCE AUX ÉTATS-UNIS !
N°1 DANS LA LISTE DES BEST-SELLERS DU NYT
N°1 USA TODAY, 3 000 AVIS POSITIFS SUR AMAZON, 100 000 AVIS POSITIFS SUR GOODREADS
DANS LES CINQ MEILLEURES VENTES EN ALLEMAGNE, GRANDE-BRETAGNE, ITALIE, ETC.


Auburn Reed a des plans très précis pour son avenir, et elle ne laissera personne se mettre sur son chemin.

Lorsqu'elle franchit la porte d'une galerie d'art à Dallas pour un entretien, elle s'attend à tout sauf à l'irrésistible attraction qui la pousse vers Owen Gentry.

Cet artiste énigmatique semble avoir beaucoup de choses à vouloir cacher à tout prix. Pour tenter de découvrir ses secrets les plus intimes, Auburn va baisser toutes ses barrières, pour comprendre qu'elle risque bien plus gros qu'elle ne pensait.

Elle n'a qu'une solution : s'éloigner d'Owen au plus vite. Mais la dernière chose que souhaite Owen, c'est la perdre. Pour sauver leur relation, il devra tout confesser. Mais parfois, les mots peuvent être bien plus destructeur que la vérité...
(less)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459271853l/29725515._SY475_.jpg,854a2370-1554-485f-a69a-11556e5514b9
,https://www.goodreads.com/book/show/33028919-never-never-saison-1-pisode-2?from_search=true&from_srp=true&qid=1t02z5usua&rank=88,33028919,Never Never Saison 1 Épisode 2,"by Colleen Hoover (Goodreads Author), Tarryn Fisher (Goodreads Author), Pauline Vidal (Translator)",4.00,"Charlie et Silas ont commencé à comprendre ce qui leur est arrivé : tous deux ont perdu la mémoire et ne se souviennent de rien. Il leur faut tout redécouvrir, mais un événement imprévu a encore compliqué les choses. Leur mémoire s'est à nouveau évanouie au bout de quelques heures, les obligeant à tout recommencer.

Pourtant, ils progressent dans leur quête des souvenirs et d'eux-mêmes. Ils sont désormais alliés dans cette recherche malgré tout ce qui les a séparés et qu'ils doivent redécouvrir. Et surtout, ils savent que l'explication de cette amnésie pourrait être en eux et que "" jamais, jamais "", cette expression qu'ils retrouvent partout dans leur passé est peut-être la clé de tout. (less)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479804905l/33028919._SY475_.jpg,e958f5c8-09f8-4036-976d-8f0e08ddd550
,https://www.goodreads.com/book/show/60529852-summary-of-it-ends-with-us?from_search=true&from_srp=true&qid=1t02z5usua&rank=89,60529852,Summary of It ends with us : Complete Overview by colleen Hoover,by Tazbiul Hasan,0.00,no book description available,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1646132726l/60529852._SY475_.jpg,2396b32b-e5ff-4607-83cb-3093b5f10a5b
,https://www.goodreads.com/book/show/60724859-summary-of-verity-by-colleen-hoover?from_search=true&from_srp=true&qid=1t02z5usua&rank=90,60724859,Summary of Verity by Colleen Hoover,by Key Summary,0.00,no book description available,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1648713510l/60724859._SY475_.jpg,d2aff5c6-545e-4c93-a051-e08e00395f4d
,https://www.goodreads.com/book/show/60478818-summary-of-reminders-of-him?from_search=true&from_srp=true&qid=1t02z5usua&rank=91,60478818,Summary of Reminders of Him: A Novel by Colleen Hoover,by Logan Middleton,4.00,no book description available,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1645591293l/60478818._SY475_.jpg,3559e79f-79a7-4710-b30c-cae4535e675e
,https://www.goodreads.com/book/show/33028931-never-never-saison-1-pisode-3?from_search=true&from_srp=true&qid=1t02z5usua&rank=92,33028931,Never Never Saison 1 Épisode 3,"by Colleen Hoover (Goodreads Author), Tarryn Fisher (Goodreads Author), Pauline Vidal (Translator)",4.04,"Charlie et Silas ont commencé à comprendre ce qui leur est arrivé : tous deux ont perdu la mémoire et ne se souviennent de rien. Il leur faut tout redécouvrir, mais un événement imprévu a encore compliqué les choses. Leur mémoire s'est à nouveau évanouie au bout de quelques heures, les obligeant à tout recommencer.

Pourtant, ils progressent dans leur quête des souvenirs et d'eux-mêmes. Ils sont désormais alliés dans cette recherche malgré tout ce qui les a séparés et qu'ils doivent redécouvrir. Et surtout, ils savent que l'explication de cette amnésie pourrait être en eux et que "" jamais, jamais "", cette expression qu'ils retrouvent partout dans leur passé est peut-être la clé de tout. (less)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479805009l/33028931._SY475_.jpg,5e1be90b-c372-412d-af64-f1478399a403
,https://www.goodreads.com/book/show/60651697-summary-of-reminders-of-him-by-colleen-hoover?from_search=true&from_srp=true&qid=1t02z5usua&rank=93,60651697,SUMMARY OF REMINDERS OF HIM By COLLEEN HOOVER: A Novel,by Anthony Sharon,4.00,no book description available,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1647750638l/60651697._SY475_.jpg,e406dd84-28fd-448f-97fb-8e28cfe8c343
,https://www.goodreads.com/book/show/60072402-summary-of-it-ends-with-us?from_search=true&from_srp=true&qid=1t02z5usua&rank=94,60072402,Summary of It Ends with Us : by Colleen Hoover - A Comprehensive Summary (Turbo-Summary Book 8),by Turbo-Summary,0.00,no book description available,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1641757149l/60072402._SX318_.jpg,eee0f9c2-b853-4799-8297-72d019ef6a6c
,https://www.goodreads.com/book/show/55216236-verity--extrait-offert-?from_search=true&from_srp=true&qid=1t02z5usua&rank=95,55216236,Verity -Extrait offert-,"by Colleen Hoover (Goodreads Author), Pauline Vidal (Translator)",4.55,no book description available,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1599087830l/55216236._SY475_.jpg,3ed815e9-9b35-4469-84c6-907f70d92341
,https://www.goodreads.com/book/show/60739771-biography-of-colleen-hoover?from_search=true&from_srp=true&qid=1t02z5usua&rank=96,60739771,"BIOGRAPHY OF COLLEEN HOOVER: Memoir, Timeline, Achievements and a look into her life",by JASON WORE,3.00,no book description available,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1648945558l/60739771._SY475_.jpg,d4d468be-4eb1-4b70-bea7-7a530a1f3d2a
,https://www.goodreads.com/book/show/33028935-never-never-saison-1-pisode-4?from_search=true&from_srp=true&qid=1t02z5usua&rank=97,33028935,Never Never Saison 1 Épisode 4,"by Colleen Hoover (Goodreads Author), Tarryn Fisher (Goodreads Author), Pauline Vidal (Translator)",4.38,no book description available,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479805090l/33028935._SY475_.jpg,af8f0368-001e-43ba-82cd-999ed91f70b3
,https://www.goodreads.com/book/show/60481366-summary-of-reminders-of-him-a-novel-by-colleen-hoover?from_search=true&from_srp=true&qid=1t02z5usua&rank=98,60481366,Summary of Reminders of Him A Novel by Colleen Hoover,by Justin Reese,4.00,no book description available,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1645626684l/60481366._SX318_.jpg,8f8bc5f7-9dbb-43c5-a0d5-8a7b43fed54e
,https://www.goodreads.com/book/show/60826691-summary-of-verity-by-colleen-hoover?from_search=true&from_srp=true&qid=1t02z5usua&rank=99,60826691,SUMMARY OF VERITY BY COLLEEN HOOVER: A NOVEL,by SMITH LINCON,0.00,no book description available,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1650175046l/60826691._SY475_.jpg,008c0245-2538-4a41-af70-92663d816497
,https://www.goodreads.com/book/show/60389827-summary-of-verity?from_search=true&from_srp=true&qid=1t02z5usua&rank=100,60389827,SUMMARY OF VERITY : A Novel By Colleen Hoover,by JACK ROBERT,1.00,no book description available,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1644548832l/60389827._SY475_.jpg,19c17f30-345d-40c4-8f07-644769dcfcfa
,https://www.goodreads.com/book/show/60762303-summary-of-reminders-of-him-by-colleen-hoover?from_search=true&from_srp=true&qid=1t02z5usua&rank=101,60762303,Summary of Reminders of Him By Colleen Hoover,by Paschal Webster,4.00,no book description available,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1649264531l/60762303._SY475_.jpg,1c210c7d-11e8-412a-8601-2a85e9e1eb41
,https://www.goodreads.com/book/show/59833598-summary-of-verity-by-colleen-hoover?from_search=true&from_srp=true&qid=1t02z5usua&rank=102,59833598,SUMMARY OF VERITY BY COLLEEN HOOVER: A NOVEL,by Bay Writes,0.00,no book description available,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1639635121l/59833598._SY475_.jpg,8fddbe50-27ba-4ad4-8b5c-13cc564deaf1
,https://www.goodreads.com/book/show/60322287-summary-of-verity?from_search=true&from_srp=true&qid=1t02z5usua&rank=103,60322287,Summary of verity: by colleen hoover,by pill gordan,0.00,no book description available,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1644192569l/60322287._SY475_.jpg,bc297c45-1afb-4053-a352-3b3c7862b88b
